Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:34:55,0.2657,19.9952,0.5654,88.5174,324,3.24,0.0216,3,0,normal
0:34:56,0.2898,20.0112,0.5838,88.5973,325,3.25,0.0287,3,0,normal
0:34:57,0.2885,19.9144,0.5886,88.6803,322,3.22,0.0241,3,0,normal
0:34:58,0.2848,19.9746,0.5761,88.6862,322,3.22,-0.0016,3,0,normal
0:34:59,0.2822,20.0833,0.5896,88.7035,320,3.2,0.0211,3,0,normal
0:35:00,0.2786,19.943,0.5766,88.3824,316,3.16,0.0065,3,0,normal
0:35:01,0.2832,19.8883,0.5906,88.968,313,3.13,0.0277,3,0,normal
0:35:02,0.2776,19.8133,0.6027,88.9839,311,3.11,0.032,3,0,normal
0:35:03,0.2756,19.8231,0.583,88.6304,308,3.08,-0.0001,3,0,normal
0:35:04,0.2928,19.7498,0.5579,87.695,309,3.09,-0.0111,3,0,normal
0:35:05,0.2887,19.8578,0.5576,88.6796,310,3.1,0.0093,3,0,normal
0:35:06,0.2815,19.8641,0.5782,88.8639,313,3.13,0.028,3,0,normal
0:35:07,0.2841,19.9309,0.5716,88.2119,312,3.12,0.0004,3,0,normal
0:35:08,0.2973,19.9602,0.5588,88.4131,312,3.12,-0.0032,3,0,normal
0:35:09,0.2869,20.0545,0.5579,88.9043,316,3.16,0.0022,3,0,normal
0:35:10,0.2714,20.076,0.5604,89.925,316,3.16,0.011,3,0,normal
0:35:11,0.2876,20.1738,0.5719,89.4188,316,3.16,0.0207,3,0,normal
0:35:12,0.2663,20.2442,0.5712,89.607,315,3.15,0.0102,3,0,normal
0:35:13,0.2764,20.2303,0.5785,88.8887,317,3.17,0.0148,3,0,normal
0:35:14,0.274,20.2522,0.5794,89.2308,318,3.18,0.013,3,0,normal
0:35:15,0.2866,20.2915,0.5714,89.078,318,3.18,0.0036,3,0,normal
0:35:16,0.281,20.2638,0.5651,88.9674,314,3.14,0.0132,3,0,normal
0:35:17,0.2754,20.2156,0.5786,88.9942,317,3.17,0.023,3,0,normal
0:35:18,0.2869,20.2248,0.5778,89.8247,316,3.16,0.0086,3,0,normal
0:35:19,0.2798,20.1929,0.5723,88.5548,310,3.1,0.024,3,0,normal
0:35:20,0.298,20.2507,0.5721,89.5838,311,3.11,0.0081,3,0,normal
0:35:21,0.308,20.1443,0.5674,89.9644,309,3.09,0.0161,3,0,normal
0:35:22,0.2771,20.2779,0.5725,90.0799,312,3.12,0.0142,3,0,normal
0:35:23,0.2627,20.0821,0.5784,89.1057,309,3.09,0.0193,3,0,normal
0:35:24,0.277,20.1207,0.6093,88.5708,307,3.07,0.0456,3,0,normal
0:35:25,0.275,19.9691,0.6007,88.4474,303,3.03,0.0291,3,0,normal
0:35:26,0.2769,19.9271,0.6129,89.079,304,3.04,0.0248,3,0,normal
0:35:27,0.2776,19.9695,0.6026,88.9473,302,3.02,-0.1797,3,0,normal
0:35:28,0.2887,19.8115,0.6128,88.5127,302,3.02,0.0105,3,0,normal
0:35:29,0.2882,19.7226,0.6012,88.7857,300,3,-0.0012,3,0,normal
0:35:30,0.285,19.6935,0.5975,88.9005,302,3.02,-0.0034,3,0,normal
0:35:31,0.2946,19.7298,0.6071,89.2605,300,3,0.0075,3,0,normal
0:35:32,0.299,19.7331,0.6051,89.8617,299,2.99,0.0006,3,0,normal
0:35:33,0.2888,19.715,0.5794,89.877,296,2.96,-0.0173,3,0,normal
0:35:34,0.2797,19.7695,0.5748,90.0636,301,3.01,-0.0052,3,0,normal
0:35:35,0.2808,19.7778,0.587,89.7349,297,2.97,0.0085,3,0,normal
0:35:36,0.2911,19.6693,0.5949,88.5968,297,2.97,0.0068,3,0,normal
0:35:37,0.2836,19.7937,0.5941,88.1916,296,2.96,0.0039,3,0,normal
0:35:38,0.2765,19.6379,0.6065,89.1586,300,3,-0.0003,3,0,normal
0:35:39,0.2655,19.5604,0.6039,89.115,297,2.97,0.0017,3,0,normal
0:35:40,0.2865,19.4796,0.6102,88.8527,294,2.94,0.0143,3,0,normal
0:35:41,0.2713,19.5211,0.5916,89.3168,298,2.98,-0.0215,3,0,normal
0:35:42,0.2654,19.453,0.5854,88.6962,301,3.01,-0.0097,3,0,normal
0:35:43,0.2752,19.5632,0.584,88.5272,305,3.05,-0.0084,3,0,normal
